Field ID	Description
26064	Added sugars and preserves
26065	Allium vegetables
26062	Animal fat spread lower fat
26063	Animal fat spread normal
26089	Apples and pears
26066	Beef
26067	Beer and cider
26090	Berries
26075	Biscuit cereal
26068	Biscuits
26076	Bran cereal
26069	Breaded/battered chicken
26070	Breaded/battered fish
26080	Chocolate confectionery
26091	Citrus
26081	Coffee, caffeinated
26082	Coffee, decaffeinated
26154	Cream
26092	Dried fruit
26088	Egg and egg dishes
26151	Fortified wine
26119	Fried/roast potatoes
26095	Fruit juice
26096	Full fat yogurt
26097	Grain dishes - added fat
26098	Green leafy/cabbages
26099	High fat cheese
26100	Lamb
26101	Legumes and pulses
26102	Low fat yogurt
26126	Low/non sugar sugar-sweetened beverages
26120	Mashed potatoes
26137	Meat substitutes - soy
26145	Meat substitutes - vegetarian
26103	Medium and low fat cheese
26087	Milk-based and powdered drinks
26084	Milk-dairy desserts
26071	Mixed bread (50/50), brown and seeded
26105	Muesli
26106	Nut-based spreads
26077	Oat cereal (non sugar)
26078	Oat cereal (sugar)
26109	Oily fish
26110	Olive oil (drizzling/dunking)
26072	Other bread
26079	Other cereal (sugar)
26085	Other desserts and cakes and pastries
26093	Other fruit
26104	Other meat, offal
26140	Other sweets
26146	Other vegetables, including mushrooms, fruiting and mixed vegetables
26115	Peas and sweetcorn
26116	Pizza
26111	Plant-based spread lower fat
26112	Plant-based spread normal
26117	Pork
26118	Potatoes and sweet potatoes (baked/boiled)
26121	Poultry
26122	Processed meat
26123	Raw salad
26152	Red wine
26124	Rice/oat milk
26125	Root vegetables
26108	Salted nuts and seeds
26128	Samosa, pakora
26129	Sauces and condiments (high fat)
26130	Sauces and condiments (low fat)
26083	Savoury crackers
26134	Savoury snacks
26131	Semi skimmed milk
26132	Shellfish
26133	Skimmed milk and cholesterol-lowering milk
26135	Soups
26086	Soy desserts and yogurt
26136	Soy milk
26138	Spirits
26094	Stewed fruit
26127	Sugar-sweetened beverages and other sugary drinks
26139	Sushi
26141	Tea
26142	Tea, decaffeinated
26143	Tomatoes
26107	Unsalted nuts and seeds
26144	Vegetable dips
26147	Vegetable side dishes
26148	Water (still and sparkling)
26073	White bread
26149	White fish and tinned tuna
26113	White pasta and rice
26153	White wine
26150	Whole milk
26074	Wholemeal bread
26114	Wholemeal pasta, brown rice and other wholegrains